country_name,wbcode,year,gdp_capita,lp_bl,lh_bl,tradewb,mortnew,ginv,dem,unrestreg,pop
Czech Republic,CZE,2005,6657.9599609375,0.23128269612789154,12.470879554748535,126.536865234375,4.400000095367432,26.503211975097656,1,0.18518517911434174,10211216
Czech Republic,CZE,2010,7381.31298828125,13.287007331848145,10.512540817260742,121.50407409667969,3.4000000953674316,24.901185989379883,1,0.11538461595773697,10474410
Germany,DEU,2000,22945.708984375,21.13592529296875,19.73680305480957,61.909263610839844,4.400000095367432,22.299877166748047,1,0.043478261679410934,82211508
Germany,DEU,2005,23564.384765625,2.9163103103637695,20.487943649291992,74.82269287109375,3.9000000953674316,17.2689266204834,1,0.17391304671764374,82469422
Germany,DEU,2010,25306.1875,3.6814346313476562,19.287460327148438,84.47019958496094,3.5,17.488182067871094,1,0.17391304671764374,81776930
Denmark,DNK,2000,29980.15625,42.95064163208008,16.733400344848633,82.1192626953125,4.599999904632568,21.18174934387207,1,0.043478261679410934,5339616
Denmark,DNK,2005,31439.439453125,40.29609680175781,17.096778869628906,89.43505859375,4.099999904632568,20.825468063354492,1,0.17391304671764374,5419432
Denmark,DNK,2010,30532.27734375,37.75898361206055,18.9581298828125,94.105438232421875,3.299999952316284,16.77566909790039,1,0.17391304671764374,5547683
Dominican Republic,DOM,2000,2792.917724609375,43.79558563232422,12.613425254821777,80.37159729003906,32.400001525878906,23.273101806640625,1,0.6000000238418579,8562623
Dominican Republic,DOM,2005,3080.3154296875,44.53318405151367,15.086592674255371,71.586334228515625,27.799999237060547,16.50955581665039,1,0.3333333432674408,9237565
Dominican Republic,DOM,2010,4049.169677734375,43.75175094604492,17.539209365844727,53.28395080566406,24.100000381469727,16.474201202392578,1,0.1428571492433548,9897983
Algeria,DZA,2000,1794.4052734375,39.88314437866211,5.20765495300293,64.85926818847656,29.799999237060547,25.02428436279297,0,0.1666666716337204,31183658
Algeria,DZA,2005,2115.18603515625,40.73728561401367,6.588857650756836,73.29847717285156,22.600000381469727,31.510868072509766,0,0.2777777910232544,33267887
Algeria,DZA,2010,2231.993408203125,41.664405822753906,8.479278564453125,55.68959045410156,18.399999618530273,41.400001525878906,0,0.2222222238779068,36036159
Ecuador,ECU,2000,1291.341552734375,41.46726608276367,14.939955711364746,54.95124816894531,28.200000762939453,20.11199951171875,1,0.6000000238418579,12628596
Ecuador,ECU,2005,1562.326904296875,39.325435638427734,16.129384994506836,53.72906494140625,24.100000381469727,23.590402603149414,1,0.3333333432674408,13735232
Ecuador,ECU,2010,1728.02099609375,36.99257278442383,17.090980529785156,55.600799560546875,21,26.176464080810547,1,0.1428571492433548,14934692
Egypt,EGY,2000,1475.8443603515625,13.858366012573242,4.417368412017822,39.5106086730957,36.099998474121094,19.553071975708008,0,0.1666666716337204,68334905
Egypt,EGY,2005,1600.32177734375,12.308561325073242,6.601222038269043,59.933494567871094,25.899999618530273,17.975858688354492,0,0.2777777910232544,74942115
Egypt,EGY,2010,1975.5518798828125,11.27956771850586,9.441752433776855,52.94586944580078,19.600000381469727,18.88778305053711,0,0.2222222238779068,82040994
Spain,ESP,2000,14421.9345703125,32.08115005493164,18.055400848388672,57.57279968261719,5.400000095367432,26.292451858520508,1,0.3333333432674408,40263216
Spain,ESP,2005,15712.0966796875,33.63242721557617,23.626237869262695,55.59680938720703,4.800000190734863,29.536521911621094,1,0.3333333432674408,43653155
Spain,ESP,2010,15461.7587890625,25.235286712646484,24.979175567626953,52.96216583251953,4,22.811504364013672,1,0,46576897
Estonia,EST,2000,4144.3740234375,10.408835411071777,28.152223587036133,159.9396209716797,8.899999618530273,28.388608932495117,1,0.11538461595773697,1396985
Estonia,EST,2005,6233.46240234375,6.538154125213623,27.296722412109375,157.84747314453125,5.699999809265137,33.7850227355957,1,0.18518517911434174,1354775
Estonia,EST,2010,6238.53759765625,5.2916975021362305,27.702529907226562,138.73350524902344,3.5,20.25393295288086,1,0.11538461595773697,1331475
Finland,FIN,2000,23529.5390625,54.864776611328125,13.79114818572998,73.26971435546875,3.5,20.86463165283203,1,0.043478261679410934,5176209
Finland,FIN,2005,26435.0234375,33.137664794921875,30.04246711730957,75.100067138671875,3.0999999046325684,21.8466739654541,1,0.17391304671764374,5246096
Finland,FIN,2010,27110.732421875,29.516443252563477,27.411767959594727,75.984619140625,2.5999999046325684,18.543479919433594,1,0.17391304671764374,5363352
