record_id,municipality_name,construction_cost,units,fees,square_feet,volume
10012529,EAST BRUNSWICK,321300,1,10604,2708,102656
10012553,EAST BRUNSWICK,569500,1,10067,4206,98117
18001794,EAST BRUNSWICK,386700,1,13049,750,158140
19002316,EAST BRUNSWICK,213750,1,5332,2461,42957
19002317,EAST BRUNSWICK,215250,1,5277,2461,42957
19002773,EAST BRUNSWICK,272000,1,6618,3440,58941
19002881,EAST BRUNSWICK,214300,1,6985,7536,67681
20000187,EAST BRUNSWICK,79500,1,1803,1050,3150
20000702,EAST BRUNSWICK,423501,1,11586,4436,125958
20000969,EAST BRUNSWICK,404501,1,11820,4776,134631
20001308,EAST BRUNSWICK,3106540,25,67854,33425,336495
20001309,EAST BRUNSWICK,2989790,25,80688,33326,336396
20001310,EAST BRUNSWICK,3206539,25,67182,33326,336396
20001311,EAST BRUNSWICK,3446539,21,68521,33425,330616
20001312,EAST BRUNSWICK,281001,1,7199,3376,61713
20001522,EAST BRUNSWICK,447400,1,13544,5400,145250
20001891,EAST BRUNSWICK,241000,1,8464,4609,82246
20001892,EAST BRUNSWICK,210800,1,7457,4209,67444
20001893,EAST BRUNSWICK,230000,1,8895,4451,86304
20002250,EAST BRUNSWICK,323300,1,8117,3122,78025
20002334,EAST BRUNSWICK,294802,1,7328,3101,66124
20002477,EAST BRUNSWICK,282017,1,7246,3089,56449
20002586,EAST BRUNSWICK,483500,1,8728,5544,80738
20002587,EAST BRUNSWICK,492500,1,8893,3309,80738
20002653,EAST BRUNSWICK,176200,1,6837,3301,60342
20002667,EAST BRUNSWICK,281801,1,6017,3377,45625
20002675,EAST BRUNSWICK,201500,1,6182,2798,44490
20002698,EAST BRUNSWICK,224000,1,7223,4047,60774
21000234,EAST BRUNSWICK,362400,1,7349,3314,68006
21000333,EAST BRUNSWICK,110000,2,4730,2360,34251
21000475,EAST BRUNSWICK,312000,1,6980,3398,62115
21000476,EAST BRUNSWICK,312000,1,6964,3398,62115
21000497,EAST BRUNSWICK,294201,1,6070,3377,44625
21000510,EAST BRUNSWICK,360200,1,6656,3053,50378
